Fonction = process_commune_square | Temps d'éxécution = 0.12923479080200195
##########  Exécution du 04/11/2021 18:29:23  ##########
Fonction = init_app | Temps d'éxécution = 0.0008401870727539062
Fonction = processing | Temps d'éxécution = 0.2612442970275879
Fonction = init_data | Temps d'éxécution = 0.9284868240356445
Fonction = init_sidebar | Temps d'éxécution = 0.20089507102966309
##########  Exécution du 04/11/2021 18:29:25  ##########
Fonction = init_app | Temps d'éxécution = 0.001093149185180664
Fonction = processing | Temps d'éxécution = 0.22209715843200684
Fonction = init_data | Temps d'éxécution = 0.9128501415252686
Fonction = init_sidebar | Temps d'éxécution = 0.23397517204284668
Fonction = process_commune | Temps d'éxécution = 0.15466594696044922
##########  Exécution du 04/11/2021 18:29:27  ##########
Fonction = init_app | Temps d'éxécution = 0.0016188621520996094
Fonction = processing | Temps d'éxécution = 0.22605276107788086
Fonction = init_data | Temps d'éxécution = 0.9123499393463135
Fonction = init_sidebar | Temps d'éxécution = 0.2615816593170166
##########  Exécution du 04/11/2021 18:29:28  ##########
Fonction = init_app | Temps d'éxécution = 0.0023298263549804688
Fonction = processing | Temps d'éxécution = 0.24059605598449707
Fonction = init_data | Temps d'éxécution = 0.9159059524536133
Fonction = init_sidebar | Temps d'éxécution = 0.2846388816833496
##########  Exécution du 04/11/2021 18:29:30  ##########
Fonction = init_app | Temps d'éxécution = 0.0008080005645751953
Fonction = processing | Temps d'éxécution = 0.244520902633667
Fonction = init_data | Temps d'éxécution = 0.9279851913452148
Fonction = init_sidebar | Temps d'éxécution = 0.31854724884033203
##########  Exécution du 04/11/2021 18:29:32  ##########
Fonction = init_app | Temps d'éxécution = 0.0011219978332519531
Fonction = processing | Temps d'éxécution = 0.2337028980255127
Fonction = init_data | Temps d'éxécution = 0.9119901657104492
##########  Exécution du 04/11/2021 18:29:33  ##########
Fonction = init_app | Temps d'éxécution = 0.001338958740234375
Fonction = processing | Temps d'éxécution = 0.25933122634887695
Fonction = init_data | Temps d'éxécution = 0.9534330368041992
##########  Exécution du 04/11/2021 18:29:34  ##########
Fonction = init_app | Temps d'éxécution = 0.001203298568725586
Fonction = processing | Temps d'éxécution = 0.22837018966674805
Fonction = init_data | Temps d'éxécution = 0.9027597904205322
Fonction = init_sidebar | Temps d'éxécution = 0.46716904640197754
##########  Exécution du 04/11/2021 18:29:36  ##########
Fonction = init_app | Temps d'éxécution = 0.0011050701141357422
Fonction = processing | Temps d'éxécution = 0.2019062042236328
Fonction = init_data | Temps d'éxécution = 0.8566930294036865
Fonction = init_sidebar | Temps d'éxécution = 0.4979579448699951
Fonction = process_commune | Temps d'éxécution = 0.3425741195678711
Fonction = process_departement | Temps d'éxécution = 0.21764612197875977
Fonction = process_commune_square | Temps d'éxécution = 0.33173394203186035
Fonction = process_region | Temps d'éxécution = 0.3177320957183838
Fonction = process_local_region | Temps d'éxécution = 0.3120391368865967
Fonction = init_charts | Temps d'éxécution = 5.4604432582855225
